VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y
508, 170, -0.45119,  6.04413E-06, -0.87961, -0.45641,  6.11395E-06, -0.88977,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.44302
509, 171, -0.44308, -6.32817E-06, -0.86385,  0.45638,  6.51815E-06,  0.88978,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.44302
510, 172, -0.47991,  6.04657E-06, -0.86423, -0.48547,  6.11668E-06, -0.87425,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.44803
511, 171, -0.44308, -6.32817E-06, -0.86385,  0.45638,  6.51815E-06,  0.88978,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.44302
512, 170, -0.45119,  6.04413E-06, -0.87961, -0.45641,  6.11395E-06, -0.88977,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.44302
513, 171, -0.44308, -6.32817E-06, -0.86385,  0.45638,  6.51815E-06,  0.88978,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.44302
514, 172, -0.47991,  6.04657E-06, -0.86423, -0.48547,  6.11668E-06, -0.87425,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.44803
515, 173, -0.47128, -6.32573E-06, -0.84874,  0.48545,  6.51593E-06,  0.87426,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.44803
516, 172, -0.47991,  6.04657E-06, -0.86423, -0.48547,  6.11668E-06, -0.87425,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.44803
517, 174, -0.49892, -6.32281E-06, -0.83275,  0.51394,  6.51321E-06,  0.85783,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.45303
518, 173, -0.47128, -6.32573E-06, -0.84874,  0.48545,  6.51593E-06,  0.87426,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.44803
519, 174, -0.49892, -6.32281E-06, -0.83275,  0.51394,  6.51321E-06,  0.85783,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.45303
520, 172, -0.47991,  6.04657E-06, -0.86423, -0.48547,  6.11668E-06, -0.87425,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.44803
521, 175, -0.50805,  6.04901E-06, -0.84794, -0.51396,  6.11942E-06, -0.85781,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.45303
522, 175, -0.50805,  6.04901E-06, -0.84794, -0.51396,  6.11942E-06, -0.85781,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.45303
523, 176, -0.52597, -6.32037E-06, -0.81588,  0.54183,  6.51099E-06,  0.84049,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.45803
524, 174, -0.49892, -6.32281E-06, -0.83275,  0.51394,  6.51321E-06,  0.85783,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.45303
525, 176, -0.52597, -6.32037E-06, -0.81588,  0.54183,  6.51099E-06,  0.84049,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.45803
526, 175, -0.50805,  6.04901E-06, -0.84794, -0.51396,  6.11942E-06, -0.85781,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.45303
527, 177, -0.5356,  6.05193E-06, -0.83077, -0.54185,  6.12264E-06, -0.84047,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.45803
528, 177, -0.5356,  6.05193E-06, -0.83077, -0.54185,  6.12264E-06, -0.84047,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.45803
529, 178, -0.55242, -6.31745E-06, -0.79816,  0.56911,  6.50825E-06,  0.82226,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.46301
530, 176, -0.52597, -6.32037E-06, -0.81588,  0.54183,  6.51099E-06,  0.84049,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.45803
531, 178, -0.55242, -6.31745E-06, -0.79816,  0.56911,  6.50825E-06,  0.82226,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.46301
532, 177, -0.5356,  6.05193E-06, -0.83077, -0.54185,  6.12264E-06, -0.84047,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.45803
533, 179, -0.56253,  6.05485E-06, -0.81272, -0.56913,  6.12584E-06, -0.82225,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.46301
534, 179, -0.56253,  6.05485E-06, -0.81272, -0.56913,  6.12584E-06, -0.82225,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.46301
535, 180, -0.57826, -6.31453E-06, -0.7796,  0.59574,  6.50548E-06,  0.80318,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.46799
536, 178, -0.55242, -6.31745E-06, -0.79816,  0.56911,  6.50825E-06,  0.82226,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.46301
537, 180, -0.57826, -6.31453E-06, -0.7796,  0.59574,  6.50548E-06,  0.80318,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.46799
538, 179, -0.56253,  6.05485E-06, -0.81272, -0.56913,  6.12584E-06, -0.82225,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.46301
539, 181, -0.58883,  6.05826E-06, -0.79383, -0.59576,  6.12952E-06, -0.80316,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.46799
540, 182, -0.61448,  6.06119E-06, -0.77411, -0.62173,  6.13267E-06, -0.78323,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.47457
541, 180, -0.57826, -6.31453E-06, -0.7796,  0.59574,  6.50548E-06,  0.80318,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.46799
542, 181, -0.58883,  6.05826E-06, -0.79383, -0.59576,  6.12952E-06, -0.80316,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.46799
543, 180, -0.57826, -6.31453E-06, -0.7796,  0.59574,  6.50548E-06,  0.80318,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.46799
544, 182, -0.61448,  6.06119E-06, -0.77411, -0.62173,  6.13267E-06, -0.78323,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.47457
545, 183, -0.60345, -6.31112E-06, -0.76023,  0.62172,  6.50217E-06,  0.78324,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.47457
546, 184, -0.63946,  6.06460E-06, -0.75357, -0.64701,  6.13627E-06, -0.76248,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.48115
547, 183, -0.60345, -6.31112E-06, -0.76023,  0.62172,  6.50217E-06,  0.78324,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.47457
548, 182, -0.61448,  6.06119E-06, -0.77411, -0.62173,  6.13267E-06, -0.78323,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.47457
549, 183, -0.60345, -6.31112E-06, -0.76023,  0.62172,  6.50217E-06,  0.78324,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.47457
