VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y
161, 55,  3.91893,  1.58038E-07,  0.77025,  0.98125,  0.00,  0.19275,  1.00,  1.00,  1.00,  1.00,  0.08094,  0.0489
162, 54,  3.91893, -0.10,  0.77025,  0.98125,  0.00,  0.19275,  1.00,  1.00,  1.00,  1.00,  0.08094,  0.00907
163, 56,  3.96237, -0.10,  0.61843,  0.98807,  0.00,  0.154,  1.00,  1.00,  1.00,  1.00,  0.08329,  0.00907
164, 55,  3.91893,  1.58038E-07,  0.77025,  0.98125,  0.00,  0.19275,  1.00,  1.00,  1.00,  1.00,  0.08094,  0.0489
165, 55,  3.91893,  1.58038E-07,  0.77025,  0.98125,  0.00,  0.19275,  1.00,  1.00,  1.00,  1.00,  0.08094,  0.0489
166, 56,  3.96237, -0.10,  0.61843,  0.98807,  0.00,  0.154,  1.00,  1.00,  1.00,  1.00,  0.08329,  0.00907
167, 57,  3.96237,  1.59790E-07,  0.61843,  0.98807,  0.00,  0.154,  1.00,  1.00,  1.00,  1.00,  0.08329,  0.0489
168, 56,  3.96237, -0.10,  0.61843,  0.98807,  0.00,  0.154,  1.00,  1.00,  1.00,  1.00,  0.08329,  0.00907
169, 58,  3.99627, -0.10,  0.46513,  0.99328,  0.00,  0.11576,  1.00,  1.00,  1.00,  1.00,  0.08564,  0.00907
170, 57,  3.96237,  1.59790E-07,  0.61843,  0.98807,  0.00,  0.154,  1.00,  1.00,  1.00,  1.00,  0.08329,  0.0489
171, 57,  3.96237,  1.59790E-07,  0.61843,  0.98807,  0.00,  0.154,  1.00,  1.00,  1.00,  1.00,  0.08329,  0.0489
172, 58,  3.99627, -0.10,  0.46513,  0.99328,  0.00,  0.11576,  1.00,  1.00,  1.00,  1.00,  0.08564,  0.00907
173, 59,  3.99627,  1.61157E-07,  0.46513,  0.99328,  0.00,  0.11576,  1.00,  1.00,  1.00,  1.00,  0.08564,  0.0489
174, 58,  3.99627, -0.10,  0.46513,  0.99328,  0.00,  0.11576,  1.00,  1.00,  1.00,  1.00,  0.08564,  0.00907
175, 60,  4.02055, -0.10,  0.31071,  0.99703,  0.00,  0.07699,  1.00,  1.00,  1.00,  1.00,  0.08798,  0.00907
176, 59,  3.99627,  1.61157E-07,  0.46513,  0.99328,  0.00,  0.11576,  1.00,  1.00,  1.00,  1.00,  0.08564,  0.0489
177, 59,  3.99627,  1.61157E-07,  0.46513,  0.99328,  0.00,  0.11576,  1.00,  1.00,  1.00,  1.00,  0.08564,  0.0489
178, 60,  4.02055, -0.10,  0.31071,  0.99703,  0.00,  0.07699,  1.00,  1.00,  1.00,  1.00,  0.08798,  0.00907
179, 61,  4.02055,  1.62136E-07,  0.31071,  0.99703,  0.00,  0.07699,  1.00,  1.00,  1.00,  1.00,  0.08798,  0.0489
180, 60,  4.02055, -0.10,  0.31071,  0.99703,  0.00,  0.07699,  1.00,  1.00,  1.00,  1.00,  0.08798,  0.00907
181, 62,  4.03513, -0.10,  0.15554,  0.99926,  0.00,  0.03858,  1.00,  1.00,  1.00,  1.00,  0.09033,  0.00907
182, 61,  4.02055,  1.62136E-07,  0.31071,  0.99703,  0.00,  0.07699,  1.00,  1.00,  1.00,  1.00,  0.08798,  0.0489
183, 61,  4.02055,  1.62136E-07,  0.31071,  0.99703,  0.00,  0.07699,  1.00,  1.00,  1.00,  1.00,  0.08798,  0.0489
